Date,ProductCategory,Product,Store,SalesUnits
2026-01-01,Electronics,Smartphone X,Delhi Store,22
2026-01-01,Electronics,Smartphone X,Mumbai Store,21
2026-01-01,Electronics,Laptop Pro,Delhi Store,24
2026-01-01,Electronics,Laptop Pro,Mumbai Store,28
2026-01-01,Apparel,Classic T-Shirt,Delhi Store,69
2026-01-01,Apparel,Classic T-Shirt,Mumbai Store,61
2026-01-01,Apparel,Sleek Hoodie,Delhi Store,53
2026-01-01,Apparel,Sleek Hoodie,Mumbai Store,58
2026-01-02,Electronics,Smartphone X,Delhi Store,23
2026-01-02,Electronics,Smartphone X,Mumbai Store,34
2026-01-02,Electronics,Laptop Pro,Delhi Store,23
2026-01-02,Electronics,Laptop Pro,Mumbai Store,24
2026-01-02,Apparel,Classic T-Shirt,Delhi Store,58
2026-01-02,Apparel,Classic T-Shirt,Mumbai Store,54
2026-01-02,Apparel,Sleek Hoodie,Delhi Store,65
2026-01-02,Apparel,Sleek Hoodie,Mumbai Store,63
2026-01-03,Electronics,Smartphone X,Delhi Store,22
2026-01-03,Electronics,Smartphone X,Mumbai Store,36
2026-01-03,Electronics,Laptop Pro,Delhi Store,43
2026-01-03,Electronics,Laptop Pro,Mumbai Store,33
2026-01-03,Apparel,Classic T-Shirt,Delhi Store,95
2026-01-03,Apparel,Classic T-Shirt,Mumbai Store,70
2026-01-03,Apparel,Sleek Hoodie,Delhi Store,89
2026-01-03,Apparel,Sleek Hoodie,Mumbai Store,81
2026-01-04,Electronics,Smartphone X,Delhi Store,36
2026-01-04,Electronics,Smartphone X,Mumbai Store,33
2026-01-04,Electronics,Laptop Pro,Delhi Store,33
2026-01-04,Electronics,Laptop Pro,Mumbai Store,44
2026-01-04,Apparel,Classic T-Shirt,Delhi Store,89
2026-01-04,Apparel,Classic T-Shirt,Mumbai Store,84
2026-01-04,Apparel,Sleek Hoodie,Delhi Store,88
2026-01-04,Apparel,Sleek Hoodie,Mumbai Store,72
2026-01-05,Electronics,Smartphone X,Delhi Store,17
2026-01-05,Electronics,Smartphone X,Mumbai Store,31
2026-01-05,Electronics,Laptop Pro,Delhi Store,17
2026-01-05,Electronics,Laptop Pro,Mumbai Store,23
2026-01-05,Apparel,Classic T-Shirt,Delhi Store,68
2026-01-05,Apparel,Classic T-Shirt,Mumbai Store,62
2026-01-05,Apparel,Sleek Hoodie,Delhi Store,57
2026-01-05,Apparel,Sleek Hoodie,Mumbai Store,60
2026-01-06,Electronics,Smartphone X,Delhi Store,33
2026-01-06,Electronics,Smartphone X,Mumbai Store,20
2026-01-06,Electronics,Laptop Pro,Delhi Store,15
2026-01-06,Electronics,Laptop Pro,Mumbai Store,29
2026-01-06,Apparel,Classic T-Shirt,Delhi Store,55
2026-01-06,Apparel,Classic T-Shirt,Mumbai Store,58
2026-01-06,Apparel,Sleek Hoodie,Delhi Store,51
2026-01-06,Apparel,Sleek Hoodie,Mumbai Store,68
2026-01-07,Electronics,Smartphone X,Delhi Store,31
2026-01-07,Electronics,Smartphone X,Mumbai Store,17
2026-01-07,Electronics,Laptop Pro,Delhi Store,19
2026-01-07,Electronics,Laptop Pro,Mumbai Store,31
2026-01-07,Apparel,Classic T-Shirt,Delhi Store,52
2026-01-07,Apparel,Classic T-Shirt,Mumbai Store,69
2026-01-07,Apparel,Sleek Hoodie,Delhi Store,55
2026-01-07,Apparel,Sleek Hoodie,Mumbai Store,65
2026-01-08,Electronics,Smartphone X,Delhi Store,20
2026-01-08,Electronics,Smartphone X,Mumbai Store,20
2026-01-08,Electronics,Laptop Pro,Delhi Store,25
2026-01-08,Electronics,Laptop Pro,Mumbai Store,26
2026-01-08,Apparel,Classic T-Shirt,Delhi Store,60
2026-01-08,Apparel,Classic T-Shirt,Mumbai Store,63
2026-01-08,Apparel,Sleek Hoodie,Delhi Store,58
2026-01-08,Apparel,Sleek Hoodie,Mumbai Store,58
2026-01-09,Electronics,Smartphone X,Delhi Store,21
2026-01-09,Electronics,Smartphone X,Mumbai Store,34
2026-01-09,Electronics,Laptop Pro,Delhi Store,20
2026-01-09,Electronics,Laptop Pro,Mumbai Store,33
2026-01-09,Apparel,Classic T-Shirt,Delhi Store,61
2026-01-09,Apparel,Classic T-Shirt,Mumbai Store,61
2026-01-09,Apparel,Sleek Hoodie,Delhi Store,65
2026-01-09,Apparel,Sleek Hoodie,Mumbai Store,59
2026-01-10,Electronics,Smartphone X,Delhi Store,23
2026-01-10,Electronics,Smartphone X,Mumbai Store,28
2026-01-10,Electronics,Laptop Pro,Delhi Store,23
2026-01-10,Electronics,Laptop Pro,Mumbai Store,39
2026-01-10,Apparel,Classic T-Shirt,Delhi Store,96
2026-01-10,Apparel,Classic T-Shirt,Mumbai Store,95
2026-01-10,Apparel,Sleek Hoodie,Delhi Store,85
2026-01-10,Apparel,Sleek Hoodie,Mumbai Store,82
2026-01-11,Electronics,Smartphone X,Delhi Store,32
2026-01-11,Electronics,Smartphone X,Mumbai Store,30
2026-01-11,Electronics,Laptop Pro,Delhi Store,39
2026-01-11,Electronics,Laptop Pro,Mumbai Store,22
2026-01-11,Apparel,Classic T-Shirt,Delhi Store,93
2026-01-11,Apparel,Classic T-Shirt,Mumbai Store,74
2026-01-11,Apparel,Sleek Hoodie,Delhi Store,91
2026-01-11,Apparel,Sleek Hoodie,Mumbai Store,88
